Suspicious,Original,Label
फलेवास हिमालपारिको जिल्ला मुस्ताङबाट ट्रकमा ल्याइएका भेडा च्याङ्ग्रा सोमबार बाटोमै मरेका छन्। दशैँ र तिहारका लागि लक्षित गरी पोखरा लैजाँदै गरेका करिब ६० भेडा च्याङ्ग्रा बाटोमै मरेका हुन्। पोखराका व्यापारी प्रवीण अधिकारीले ल्याएका च्याङ्ग्रा एउटै ट्रकभित्र जबर्जस्ती कोचिएका कारण मरेका हुन्।,अधिकारीले २२ लाखको लगानीमा १३० भेडा च्याङ्ग्रा ल्याएको बताए। उनले पाँच दिन लगाएर उपल्लो मुस्ताङबाट भेडा च्याङ्ग्रा ल्याएको बताए। च्याङ्ग्रा मरेपछि अधिकारीको झण्डै १० लाखभन्दा बढी नोक्सान भएको छ। अन्य च्याङग्रा पनि अस्वस्थ छन्।,0
फलेवास हिमालपारिको जिल्ला मुस्ताङबाट ट्रकमा ल्याइएका भेडा च्याङ्ग्रा सोमबार बाटोमै मरेका छन्। दशैँ र तिहारका लागि लक्षित गरी पोखरा लैजाँदै गरेका करिब ६० भेडा च्याङ्ग्रा बाटोमै मरेका हुन्। पोखराका व्यापारी प्रवीण अधिकारीले ल्याएका च्याङ्ग्रा एउटै ट्रकभित्र जबर्जस्ती कोचिएका कारण मरेका हुन्।,अधिकारीले २२ लाखको लगानीमा १३० भेडा च्याङ्ग्रा ल्याएको बताए। उनले पाँच दिन लगाएर उपल्लो मुस्ताङबाट भेडा च्याङ्ग्रा ल्याएको बताए। च्याङ्ग्रा मरेपछि अधिकारीको झण्डै १० लाखभन्दा बढी नोक्सान भएको छ। अन्य च्याङग्रा पनि अस्वस्थ छन्।,0
"﻿
४ चैत, काठमाडौं। शंकर ग्रुपअन्तर्गतको जगदम्बा मोटर्सले इटहरीमा टिभिएस बाइकको शो-रुम खोलेको छ। पारस अटोमोबाइल्सले इटहरीमा टिभिएस बाइक तथा स्कुटर बिक्री वितरण गर्ने भएको हो। शो-रुममा टिभिएसका सम्पूर्ण बाइक तथा स्कुटरहरु उपलब्ध हुने बताइएको छ।","खासगरी, अपाचे १६० सिसी, अपाचे १८० सिसी, जुपिटर, विगो, जेस्ट, स्पोर्टस १००, फिनिक्स १२५ र स्टारसिटी प्लस ११० उपलब्ध हुनेछन्। इटहरीको शो-रुमसँगै टिभिएसका नेपालभरी ६५ वटा सर्टिफाइड सर्भिस प्वाइन्ट र ६१ वटा शो-रुमहरु पुगेका छन्। कम्पनीले शो-रुमहरुबाटसेल्स, सर्भिस र स्पेयर्स सेवा प्रदान गर्नेछ। टिभिएस मोटर भारतको तेस्रो ठुलो दुई पाङग्रे बिक्रेता भएको दाबी गरिएको छ। टिभिएस मोटर कम्पनीको वाषिर्क उत्पादन क्षमता ३० लाख दुई पाङग्रे र १.२ लाख तीन पाङग्रे सवारी साधन रहेको छ।",0
"﻿
१० चैत, काठमाडौं। सिजी मोटोकोर्पले ललितपुरको बालकुमारीमा सुजुकी मोटरको एक्सक्लुसिभ शो-रुम खोलेको छ। नारायण अटो बिजनेश नामक शो-रुमको सिजी मोटोकोर्पका प्रबन्ध निर्देशक अरुण कुमार चौधरीले उद्घाटन गरे।","नयाँ शो-रुमसँगै सुजुकी मोटरका ३० वटा आउटलेट पुगेका छन्। नयाँ शो-रुममा अल्टो, अल्टो के१०, वागनर, स्वीफ्ट, सेलेरियो, डिजायर, ओम्नी भ्यान, ओम्नी कार्गो र इको, एस-क्रस, सेडान र सुजुकी सियाज लगायतका गाडीहरु राखिएको छ। कार्यक्रममा सिजी मोटोकर्प प्रवन्ध निर्देशक चौधरीले भने ‘ग्राहकहरुलाई सर्वसुलभ तरिकाले सुजुकि गाडि उपलब्ध गराउने हाम्रो प्रतिबद्धता पूरा गर्ने क्रममा, बालकुमारी, ललितपुरमा विश्वस्तरीय नयाँ शोरुम खुलेको घोषणा गर्न पाउँदा हामी अत्यन्त खुसी छौं।",0
"७ कात्तिक, काठमाडौं। चालु आव २०७४/७५ को पहिलो त्रैमाशमा सिटिजन्स बैंकको नाफा र सेयरमा प्रतिफल दुवै घटेको छ। बैंकको नाफा ७.५४ प्रतिशतले घटेर ३१ करोडमा सिमित भएको छ। गत आवको बैंकले पहिलो त्रैमाशमा ३४ करोड रुपैयाँ नाफा आर्जन गरेको थियो। बैंकको सञ्चालन नाफा भने २० प्रतिशतले बढेर ४२ करोड रुपैयाँ पुगेको छ। तर, गत आव राइट ब्याक रकम उच्च रहेको बैंकको चालु आवमा यो रकम घटेपछि नाफा पनि कम भएको हो। गत आवमा बैंकले ४४ करोड रुपैयाँ राइट ब्याक गरेकोमा यसपटक यो रकम ७ करोडमा सिमित भएको छ। बैंकको खुद व्याज आम्दानी भने १० प्रतिशतले मात्र बढेको छ। यो रकम ४८ करोड १४ लाख रुपैयाँ पुगेको छ। त्यस्तै, बैंकले फि, कमिसन, अन्य आम्दानी र विदेशी मुद्राको विनिमयबाट २१ करोड रुपैयाँ आर्जन गरेको छ। यो रकममा २२.५५ प्रतिशतको वृद्धि हो।","बैंकको निक्षेप ८ प्रतिशतले बढेर ५४ अर्ब ६३ करोड रुपैयाँ पुगेको छ भने कर्जा १४ प्रतिशतले वृद्धि भएर ५० अर्ब पुगेको छ। बैंकको निक्षेपको तुलनामा कर्जाको अनुपात ९१ प्रतिशत देखिन्छ। तर प्राथमिक पूँजी सहितको निक्षेपको आधारमा भने कर्जाको अनुपात ७६ प्रतिशत रहेको बैंकको वित्तीय विवरणमा उल्लेख छ। बैंकको कुल कर्जा लगानीमा ४३ प्रतिशत लगानी रियल इस्टेट, सेयर कर्जा र ओभरड्राफ्ट कर्जा रहेको छ। यी क्षेत्रमा २१ अर्ब ५५ करोड रुपैयाँको लगानी भएको छ। बैंकले सम्भावित नोक्सान वापतको व्यवस्थामा ५ करोड ४७ लाख रुपैयाँ राखेको छ। बैंकको खराब कर्जाको अनुपात १.९९ प्रतिशत रहको छ भने १ सय ३५ प्रतिशत प्रोभिजनिङ गरेको उल्लेख छ। बैंकको सेयरमा प्रतिफल २१.९९ प्रतिशतबाट घटेर १३.३२ प्रतिशत भएको छ। बैंकको चुक्ता पूँजी ३ अर्बले बढेपछि सेयरमा प्रतिफल घटेको हो। बैंकको चुक्ता पूँजी ८ अर्ब २ करोड रहेको छ भने सञ्चिती १ अर्ब ६८ करोड रुपैयाँ रहेको छ। बैंकको प्रतिसेयर आम्दानी १५.९० रुपैयाँ , मूल्य आम्दानी अनुपात १९.३१ गुणा र प्रतिसेयर नेटवर्थ १ सय २१ रुपैयाँ रहेको छ।",0
"७ कात्तिक, काठमाडौं। नेपाल राष्ट्र बैंकले ८.५ प्रतिशत ब्याज दरको नागरिक बचतपत्र निष्काशन गर्ने भएको छ। बैंकले पाँचवर्षीय अवधिको बचतपत्र यही कात्तिक १२ गतेदेखि निष्काशन गर्न लागेको हो।",आगामी मंसिर १ गतेसम्म बचतपत्र खरिदका लागि आवेदन दिन पाइने बैंकले उल्लेख गरेको छ। बैंकले ब्याज भने प्रत्येक छ महिनामा र सावाँ २०७९ साल मंसिर ६ गते भुक्तानी गर्नेछ। बचतपत्र खरिद गर्न चाहने नेपालीले कम्तीमा रु १० हजार बराबरको आवेदन दिनुपर्छ। बैंकले रु दुई अर्बको बचतपत्र निष्काशन गर्न लागेको हो।,0
"﻿
﻿हेल्लो! राधा के छ खबर? अहिलेसम्म अनलाइन? केटी मान्छे भएर यति रातिसम्म अनलाइन बस्दा अरुले के भन्लान् !’ उत्तर फर्काउन नपाउँदै उसले प्रश्नको वर्षा नै गरायो।",सधैँको च्याटमा विवाद मात्र गर्न रुचाउने एलेक्सले आज पनि विवाद गर्छ नै भन्ने लागेर उत्तर दिएँ।,0
"﻿
काठमाडौं वरपरका डाँडाकाँडामा हाइकिङ गर्ने क्रममा मैले महसुस गरेको कुरा के हो भने, यी हाइकिङ रुटहरु कहिल्यै पुराना हुँदैनन्। प्रत्येक नयाँचोटी जाँदा त्यहाँ नवीनता हुन्छ। एउटा ऋतुमा जाँदा जहाँ काफल पाकेको हुन्छ, अर्कोमा त्यही ऐंसेलु र घँगेरु।",कुनै महिना पतझड हुन्छ त कुनै हरियाली। घामको पारिलोपना उस्तैउस्तै हुन्छ तर निरन्तर चल्ने वायुका झोक्काको कठोरता फरक-फरक हुन्छ। सालभर एकैनासको तनावमा विताएर खुला आकाशसम्म हेर्न नभ्याउने उपत्यकावासीका लागि प्रकृतिले दिने यो अनौठो पाठ हो। एक दिने हाइकिङ...।,0
"नेपालमा एक र दुई रुपियाँका नोट छाप्न बन्द भएको छ। बजारमा पुराना नोट नै चलिरहेका छन्। पाँच, दस रुपियाँका नोट बढी चलनचल्तीमा हुने भएकाले यी नोट चाँडै पुराना हुने गरेका छन्।",राष्ट्र बैंकको प्रणालीमा लगभग ५ वर्षमा पुराना नोट फर्किने अनुमान गरिएको छ। सामान्यत: विकसित राष्ट्रमा भने एक पटक जारी गरिएको नोट तीन वर्षमा फर्किसक्छ। हामीकहाँ साथमा पैसा राख्ने परिपाटी धेरै भएकाले पनि प्रणालीमा पैसा फर्किन लामो समय लाग्ने गरेको हो।,0
"नेपालमा एक र दुई रुपियाँका नोट छाप्न बन्द भएको छ। बजारमा पुराना नोट नै चलिरहेका छन्। पाँच, दस रुपियाँका नोट बढी चलनचल्तीमा हुने भएकाले यी नोट चाँडै पुराना हुने गरेका छन्।",राष्ट्र बैंकको प्रणालीमा लगभग ५ वर्षमा पुराना नोट फर्किने अनुमान गरिएको छ। सामान्यत: विकसित राष्ट्रमा भने एक पटक जारी गरिएको नोट तीन वर्षमा फर्किसक्छ। हामीकहाँ साथमा पैसा राख्ने परिपाटी धेरै भएकाले पनि प्रणालीमा पैसा फर्किन लामो समय लाग्ने गरेको हो।,0
