original,Suspicious
"अपोलो ११ अन्तरिक्ष उडान थियो जसले चन्द्रमामा पहिलो दुई व्यक्तिलाई अवतरण गर्यो। कमाण्डर नील आर्मस्ट्रङ र चन्द्र मोड्युल पाइलट बज एल्ड्रिन, दुबै अमेरिकी, जुलाई २०, १९६९ मा २०:१७ यूटीसी मा अपोलो लुनार मोड्युल ""ईगल"" अवतरण गरे। आर्मस्ट्रङ छ घण्टा पछि जुलाई २१ मा ०२:५६:१५ यूटीसी मा चन्द्रमाको सतहमा पाइला टेक्ने पहिलो व्यक्ति बने। एल्ड्रिन १९ मिनेटपछि उनीसँग सामेल भए। तिनीहरूले अन्तरिक्ष यान बाहिर करिब दुई चौथाई घण्टा सँगै बिताए, र पृथ्वीमा फिर्ता ल्याउन चन्द्र सामग्री संकलन गरे। कमाण्ड मोड्युल पाइलट माइकल कोलिन्सले चन्द्रमाको सतहमा हुँदा कमाण्ड मोड्युल ""कोलम्बिया"" एक्लै चन्द्रमाको कक्षमा उडाए। आर्मस्ट्रङ र एल्ड्रिनले चन्द्रमाको कक्षमा ""कोलम्बिया"" पुन: जोड्नु अघि चन्द्रमाको सतहमा २१.५ घण्टा बिताए।","अपोलो ११ चन्द्रमामा प्रारम्भिक दुई व्यक्तिहरूलाई ह्यान्डल गर्ने अन्तरिक्ष उडान थियो। नेता नील आर्मस्ट्रङ र चन्द्र मोड्युल पाइलट बज एल्ड्रिन, दुबै अमेरिकी, जुलाई २०, १९६९ मा २०:१७ यूटीसी मा अपोलो लुनार मोड्युल ""हक"" लाई ह्यान्डल गरे। जुलाई २१ मा ०२:५६:१५ यूटीसी मा तथ्य भएको छ घण्टापछि आर्मस्ट्रङ चन्द्रमाको सतहमा पाइला टेक्ने प्राथमिक व्यक्तिमा परिणत भए; उक्त तथ्यको १९ मिनेटपछि एल्ड्रिन उनीसँगै गए । तिनीहरूले रकेट बाहिर करिब साढे दुई घण्टा सँगै बिताए, र पृथ्वीमा फिर्ता लैजान चन्द्र सामग्री जम्मा गरे। अर्डर मोड्युल पाइलट माइकल कोलिन्सले चन्द्रमाको सतहमा हुँदा दिशा मोड्युल ""कोलम्बिया"" एक्लै चन्द्रमा सर्कलमा उडान गरे। आर्मस्ट्रङ र एल्ड्रिन चन्द्रमा सर्कलमा ""कोलम्बिया"" पुन: जोड्नु अघि चन्द्रमाको सतहमा २१.५ घण्टा पार गरे।"
"अपोलो ११ जुलाई १६ मा १३:३२ यूटीसी मा मेरिट आइल्याण्ड, फ्लोरिडाको केनेडी स्पेस सेन्टरबाट   रकेट द्वारा प्रक्षेपण गरिएको थियो, र नासा को अपोलो कार्यक्रमको पाँचौं क्रु मिसन थियो। अपोलो अन्तरिक्ष यानमा तीनवटा भागहरू थिए: तीन अन्तरिक्ष यात्रीहरूका लागि एउटा केबिन भएको कमाण्ड मोड्युल (), र पृथ्वीमा फर्किएको एक मात्र भाग; एक सेवा मोड्युल (), जसले कमाण्ड मोड्युललाई प्रोपल्सन, बिजुली शक्ति, अक्सिजन र पानीको साथ समर्थन गर्दछ; र एउटा चन्द्र मोड्युल () जसमा दुई चरणहरू थिए - चन्द्रमामा अवतरणको लागि अवतरण चरण, र अन्तरिक्ष यात्रीहरूलाई चन्द्रमाको कक्षमा फिर्ता राख्नको लागि आरोहण चरण।","अपोलो ११ लाई जुलाई १६ मा १३:३२ यूटीसी मा मेरिट आइल्याण्ड, फ्लोरिडाको केनेडी स्पेस सेन्टरबाट   रकेटद्वारा प्रक्षेपण गरिएको थियो, र यो नासा को अपोलो कार्यक्रमको पाँचौं मानव मिशन थियो। अपोलो शटलमा तीनवटा खण्डहरू थिए: तीनवटा अन्तरिक्ष अन्वेषकहरूको लागि लजसहितको अर्डर मोड्युल (), र पृथ्वीमा फर्किएको मुख्य भाग; एक प्रशासन मोड्युल (), जसले प्रेरणा, विद्युत शक्ति, अक्सिजन, र पानीको साथ दिशा मोड्युललाई समर्थन गर्दछ; र एउटा चन्द्र मोड्युल () जसमा दुई चरणहरू छन् - चन्द्रमामा पुग्नको लागि प्लम्मेट व्यवस्था, र अन्तरिक्ष यात्रीहरूलाई फेरि चन्द्रमा सर्कलमा राख्नको लागि आरोहण चरण।"
"शनि  को तेस्रो चरणबाट चन्द्रमामा पठाएपछि, अन्तरिक्ष यात्रीहरूले अन्तरिक्ष यानलाई यसबाट अलग गरे र चन्द्रमाको कक्षमा प्रवेश नगरेसम्म तीन दिनसम्म यात्रा गरे। आर्मस्ट्रङ र एल्ड्रिन त्यसपछि ""ईगल"" मा गए र शान्तिको सागरमा अवतरण गरे। अन्तरिक्ष यात्रीहरूले चन्द्रमाको सतहबाट माथि उठ्न र कमाण्ड मोड्युलमा कोलिन्सलाई पुन: सामेल गर्न ""ईगल"" आरोहण चरण प्रयोग गरे। तिनीहरूले ""ईगल"" लाई चन्द्रमाको कक्षबाट पृथ्वीमा फिर्ताको प्रक्षेपणमा ध्वस्त पार्ने युद्धाभ्यासहरू प्रदर्शन गर्नु अघि जेटिसन गरे। उनीहरू पृथ्वीमा फर्किए र आठ दिनभन्दा बढी अन्तरिक्षमा बसेपछि जुलाई २४ मा प्रशान्त महासागरमा झरेका थिए।","शनि  को तेस्रो चरणबाट चन्द्रमामा पठाइएपछि, अन्तरिक्ष अन्वेषकहरूले यसबाट शटललाई अलग गरे र तीन दिनसम्म चन्द्र सर्कलमा प्रवेश गरे। आर्मस्ट्रङ र एल्ड्रिन त्यसपछि ""हक"" मा गए र शान्तिको सागरमा आइपुगे। अन्तरिक्ष अन्वेषकहरूले चन्द्रमाको सतहबाट उठ्न र अर्डर मोड्युलमा कोलिन्सलाई पुन: सामेल गर्न ""ईगल"" को बढ्दो चरण प्रयोग गरे। तिनीहरूले चालहरू खेल्नु अघि तिनीहरूले ""बर्ड"" खारेज गरे जसले तिनीहरूलाई चन्द्र सर्कलबाट पृथ्वीमा फर्केको दिशामा गोली हान्यो। उनीहरू पृथ्वीमा फर्किए र आठ दिनभन्दा बढी अन्तरिक्षमा बसेपछि जुलाई २४ मा प्रशान्त महासागरमा छरिए।"
"चन्द्रमाको सतहमा आर्मस्ट्रङको पहिलो पाइला विश्वभरका दर्शकहरूलाई प्रत्यक्ष टिभीमा प्रसारण गरिएको थियो। उनले घटनालाई ""[एक] मानिसको लागि एउटा सानो कदम, मानवजातिको लागि एउटा ठूलो छलांग"" भनेर वर्णन गरे। अपोलो ११ ले अन्तरिक्ष दौडलाई प्रभावकारी रूपमा अन्त्य गर्‍यो र राष्ट्रपति जोन एफ केनेडीले १९६१ मा प्रस्ताव गरेको राष्ट्रिय लक्ष्य पूरा गर्‍यो: ""यो दशक समाप्त हुनु अघि, चन्द्रमामा मानिसलाई अवतरण गर्ने र उसलाई सुरक्षित रूपमा पृथ्वीमा फर्काउने।""","चन्द्रमाको सतहमा आर्मस्ट्रङको प्रारम्भिक कदमलाई प्रत्यक्ष टिभीमा मानिसहरूको समग्र भेलामा सञ्चार गरिएको थियो। उनले यस अवसरलाई ""[एक] मानिसको लागि एउटा सानो अग्रिम, मानवजातिको लागि एक गोलियाथ जम्प"" भनेर चित्रण गरे। अपोलो ११ ले अन्तरिक्ष दौड सफलतापूर्वक समाप्त गर्यो र राष्ट्रपति जोन एफ केनेडी द्वारा १९६१ मा प्रस्तावित राष्ट्रिय उद्देश्यलाई सन्तुष्ट गर्यो: ""यो दशक समाप्त हुनु अघि, चन्द्रमामा मानिस ल्याउने र उसलाई सुरक्षित रूपमा पृथ्वीमा फर्काउने।"""
"१९५० को दशकको अन्त र १९६० को प्रारम्भमा, संयुक्त राज्य शीत युद्धमा संलग्न थियो, सोभियत संघसँग भूराजनीतिक प्रतिद्वन्द्वी। अक्टोबर ४, १९५७ मा, सोभियत संघले पहिलो कृत्रिम उपग्रह स्पुतनिक १ प्रक्षेपण गर्यो। यो अचम्मको सफलताले संसारभरका डर र कल्पनाहरूलाई निकाल्यो। यसले सोभियत संघसँग अन्तरमहाद्वीपीय दूरीहरूमा आणविक हतियारहरू पुर्‍याउने क्षमता रहेको देखाएको छ, र सैन्य, आर्थिक र प्राविधिक श्रेष्ठताको अमेरिकी दावीहरूलाई चुनौती दियो। यसले स्पुतनिक संकटलाई निम्त्यायो, र स्पेस रेसलाई ट्रिगर गर्यो। राष्ट्रपति ड्वाइट डी. आइसेनहोवरले नेशनल एरोनटिक्स एण्ड स्पेस एडमिनिस्ट्रेशन (नासा) बनाएर स्पुतनिक चुनौतीलाई जवाफ दिए, र परियोजना मर्करी प्रारम्भ गरे, जसले मानिसलाई पृथ्वीको कक्षामा प्रक्षेपण गर्ने लक्ष्य राखेको थियो। तर अप्रिल १२, १९६१ मा सोभियत अन्तरिक्ष यात्री युरी गागारिन अन्तरिक्षमा पहिलो व्यक्ति र पृथ्वीको परिक्रमा गर्ने पहिलो व्यक्ति बने। यो अमेरिकी स्वाभिमानको लागि अर्को शरीर प्रहार थियो। लगभग एक महिना पछि, मे ५, १९६१ मा, एलन शेपर्ड १५ मिनेटको सबर्बिटल यात्रा पूरा गरेर अन्तरिक्षमा पहिलो अमेरिकी बने। एट्लान्टिक महासागरबाट बरामद भएपछि, उनले आइसेनहोवरका उत्तराधिकारी जोन एफ केनेडीबाट बधाई टेलिफोन प्राप्त गरे।","सन् १९५० को दशकको उत्तरार्ध र सन् १९६० को मध्यमा संयुक्त राज्य अमेरिकाले शीतयुद्धमा कब्जा जमाएको थियो, सोभियत संघसँगको भूराजनीतिक प्रतिस्पर्धा थियो। ४ अक्टोबर, १९५७ मा, सोभियत संघले प्रमुख नक्कली उपग्रह स्पुतनिक १ लाई बढायो। यो अप्रत्याशित उपलब्धिले विश्वभर डर र रचनात्मक ऊर्जाको भावनालाई समाप्त गर्यो। यसले सोभियत संघसँग अन्तरमहाद्वीपीय विभाजनहरूमा आणविक हतियारहरू पुर्‍याउने क्षमता रहेको देखाएको छ, र सैन्य, वित्तीय र अभिनव व्यापकताको अमेरिकी केसहरूको परीक्षण गरेको छ। यसले स्पुतनिक आपतकाललाई गति दियो, र स्पेस रेस बन्द गर्यो। राष्ट्रपति ड्वाइट डी. आइसेनहोवरले नेशनल एरोनटिक्स एण्ड स्पेस एडमिनिस्ट्रेशन (नासा) बनाएर स्पुतनिक चुनौतीलाई प्रतिक्रिया दिए र परियोजना मर्करी सुरु गरे, जसले मानिसलाई पृथ्वी सर्कलमा पठाउने योजना बनाएको थियो। जे होस्, अप्रिल १२, १९६१ मा सोभियत अन्तरिक्ष यात्री युरी गागारिन अन्तरिक्षमा प्राथमिक व्यक्तिमा परिणत भए र पृथ्वीको परिक्रमा गर्ने पहिलो व्यक्ति बने। यो अमेरिकी गर्वको लागि अर्को शरीर हिट थियो। लगभग एक महिना पछि, मे ५, १९६१ मा, एलन शेपर्ड १५ मिनेटको सबर्बिटल साहसिक कार्य पूरा गर्दै अन्तरिक्षमा मुख्य अमेरिकीमा परिणत भए। एट्लान्टिक महासागरबाट निको भइसकेपछि, उनले आइसेनहोवरका उत्तराधिकारी जोन एफ केनेडीबाट एक सलामी फोन कल प्राप्त गरे।"
"केनेडी विश्वास गर्थे कि यो संयुक्त राज्यको राष्ट्रिय हितमा अन्य राष्ट्रहरु भन्दा उच्च थियो, र अमेरिकी शक्ति को धारणा कम से कम वास्तविकता को रूप मा महत्वपूर्ण थियो। त्यसैले सोभियत संघ अन्तरिक्ष अन्वेषणको क्षेत्रमा अगाडी बढेको असहनीय थियो। संयुक्त राज्यले प्रतिस्पर्धा गर्नुपर्छ भन्ने कुरामा उनी दृढ थिए, र जित्ने सम्भावनालाई अधिकतम बनाउने चुनौती खोजे। सोभियत युनियनसँग राम्रो बूस्टर रकेटहरू भएकाले, उसलाई एउटा चुनौती चाहियो जुन रकेटरीको विद्यमान पुस्ताको क्षमताभन्दा बाहिर थियो, जहाँ अमेरिका र सोभियत संघ समानताको स्थितिबाट सुरु हुनेछन्। सैन्य, आर्थिक वा वैज्ञानिक आधारमा न्यायोचित हुन नसके पनि केही शानदार। आफ्ना विज्ञ र सल्लाहकारसँगको परामर्शपछि उनले यस्तो परियोजना रोजेका हुन् । २५ मई, १९६१ मा, उनले संयुक्त राज्य कांग्रेसलाई ""तत्काल राष्ट्रिय आवश्यकता"" मा सम्बोधन गरे र घोषणा गरे:","केनेडीले विश्वास गरे कि यो संयुक्त राज्यको राष्ट्रिय उत्साहमा विभिन्न देशहरू भन्दा राम्रो हुन सक्छ, र अमेरिकी शक्तिको छाप कुनै पनि घटनामा वास्तविकताको रूपमा आवश्यक थियो। सोभियत संघलाई कोठा अनुसन्धानको क्षेत्रमा थप विकास भएको पीडादायी यी रेखाहरूमा थियो। संयुक्त राज्यले लड्नु पर्छ भन्ने कुरामा उनी संकल्पित थिए, र एक परीक्षणको खोजीमा थिए जसले आफ्नो जीतको बाधालाई बढायो। सोभियत संघले रकेटहरू प्रायोजित गर्न राम्रो गर्ने भएकोले, उसलाई रकेटरीको वर्तमान युगको सीमा नाघेको परीक्षण आवश्यक थियो, जहाँ अमेरिका र सोभियत संघ इक्विटीको ठाउँबाट सुरु हुनेछन्। सैन्य, आर्थिक वा तार्किक आधारमा समर्थन गर्न नसकिने भए तापनि केही अद्भुत। विज्ञ र गाईडसँग परामर्श गरेपछि उनले यस्तो काम रोजे। २५ मई, १९६१ मा, उनले ""प्रेसिङ नेशनल नीड्स"" मा संयुक्त राज्य कांग्रेसमा झुकाव दिए र घोषणा गरे:"
"चन्द्रमामा मानिसलाई अवतरण गर्ने प्रयासको पहिले नै नाम थियो: प्रोजेक्ट एपोलो। एक प्रारम्भिक र महत्त्वपूर्ण निर्णय दुवै प्रत्यक्ष आरोहण र पृथ्वी कक्षा मिलन स्थलमा चन्द्र कक्ष मिलन स्थल छनौट गर्नु थियो। स्पेस मिलन एक कक्षीय चाल हो जसमा दुई अन्तरिक्ष यानहरू अन्तरिक्षमा नेभिगेट गर्छन् र भेट्छन्। ११ जुलाई, १९६२ मा, जेम्स वेबले चन्द्रमाको कक्षाको मिलन प्रयोग गर्ने निर्णयको घोषणा गरे। यसको परिणाम धेरै सानो प्रक्षेपण वाहनमा भयो, र अपोलो अन्तरिक्ष यानमा तीनवटा प्रमुख भागहरू मिलेर बनेको थियो: तीन अन्तरिक्ष यात्रीहरूको लागि एउटा केबिन भएको कमाण्ड मोड्युल (), र पृथ्वीमा फर्केको एक मात्र भाग; एक सेवा मोड्युल (), जसले कमाण्ड मोड्युललाई प्रोपल्सन, बिजुली शक्ति, अक्सिजन र पानीको साथ समर्थन गर्दछ; र एउटा चन्द्र मोड्युल () जसमा दुई चरणहरू थिए - चन्द्रमामा अवतरणको लागि अवतरण चरण, र अन्तरिक्ष यात्रीहरूलाई चन्द्रमाको कक्षमा फिर्ता राख्नको लागि आरोहण चरण। मोडको यो छनोटको मतलब यो थियो कि अन्तरिक्ष यान एकल   रकेट द्वारा प्रक्षेपण गर्न सकिन्छ जुन त्यसबेला विकास अन्तर्गत थियो।","चन्द्रमामा मानिस पुग्ने प्रयासको पहिले नाम थियो: प्रोजेक्ट अपोलो। एक प्रारम्भिक र आवश्यक छनोट दुवै प्रत्यक्ष उदाउँदो र पृथ्वी सर्कल मिलन स्थलमा चन्द्र सर्कल मिलन स्थल छान्नु थियो। अन्तरिक्ष मिलन एक कक्षीय चाल हो जसमा दुई रकेट अन्तरिक्ष मार्फत अन्वेषण गर्दछ र एकसाथ मिल्दछ। जुलाई ११, १९६२ मा, जेम्स वेबले चन्द्र सर्कल मिलन प्रयोग गर्ने छनौटको रिपोर्ट गरे। यसले धेरै सानो डिस्प्याच गाडीको बारेमा ल्यायो, र अपोलो रकेटमा तीन उल्लेखनीय भागहरू बनाइएको थियो: तीन अन्तरिक्ष अन्वेषकहरूको लागि लजसहितको अर्डर मोड्युल (), र पृथ्वीमा फिर्ता आएको मुख्य भाग; एउटा प्रशासन मोड्युल (), जसले ड्राइभ, बिजुली शक्ति, अक्सिजन र पानीको साथ दिशा मोड्युललाई समर्थन गर्दछ; र एउटा चन्द्र मोड्युल () जसमा दुई चरणहरू थिए - चन्द्रमामा पुग्नको लागि एउटा डुबकी प्रबन्ध, र अन्तरिक्ष अन्वेषकहरूलाई फेरि चन्द्रमा सर्कलमा राख्नको लागि आरोहण चरण। मोडको यो निर्णयले शटललाई एकान्त सैटर्न वी रकेटले चलाउन सकिन्छ भन्ने संकेत गर्‍यो जुन त्यसबेला काम भइरहेको थियो।"
"एपोलोका लागि आवश्यक प्रविधि र प्राविधिकहरू प्रोजेक्ट जेमिनीद्वारा विकसित गरिएको थियो। परियोजना एपोलो अचानक २७ जनवरी, १९६७ मा अपोलो १ आगोले रोकिएको थियो, जसमा तीन अन्तरिक्ष यात्रीको मृत्यु भयो, र त्यसपछिको अनुसन्धान। अक्टोबर १९६८ मा, अपोलो ७ ले पृथ्वीको कक्षामा कमाण्ड मोड्युलको मूल्याङ्कन गर्‍यो, र डिसेम्बरमा अपोलो ८ ले यसलाई चन्द्रमाको कक्षमा परीक्षण गर्‍यो। मार्च १९६९ मा, अपोलो ९ ले चन्द्र मोड्युललाई पृथ्वीको कक्षामा आफ्नो गतिमा राख्यो र मे मा अपोलो १० ले चन्द्रमाको कक्षामा ""ड्रेस रिहर्सल"" सञ्चालन गर्यो। जुलाई १९६९ सम्म, सबै अपोलो ११ को लागि चन्द्रमामा अन्तिम चरण लिनको लागि तयार थिए।","एपोलोका लागि आवश्यक आविष्कार र विधिहरू प्रोजेक्ट जेमिनीद्वारा सिर्जना गरिएको थियो। २७ जनवरी, १९६७ मा अपोलो १ को आगोले अपोलोको उपक्रम अचानक रोकियो, जसमा तीन अन्तरिक्ष अन्वेषकहरू उत्तीर्ण भए, र परिणाम परीक्षा। अक्टोबर १९६८ मा, अपोलो ७ ले पृथ्वी सर्कलमा दिशा मोड्युलको मूल्याङ्कन गर्यो, र डिसेम्बरमा अपोलो ८ ले यसलाई चन्द्रमा सर्कलमा प्रयास गर्यो। मार्च १९६९ मा, अपोलो ९ ले चन्द्र मोड्युललाई नरकबाट पृथ्वी सर्कलमा राख्यो, र मे मा अपोलो १० ले चन्द्र सर्कलमा ""ड्रेस अभ्यास"" को नेतृत्व गर्यो। जुलाई १९६९ सम्म, अपोलो ११ को लागि चन्द्रमामा अन्तिम पाइला पुर्‍याउन सबै कुरा उपलब्ध थियो।"
"सोभियत संघले अन्तरिक्ष दौडमा अमेरिकासँग प्रतिस्पर्धा गर्‍यो, तर यसको प्रारम्भिक नेतृत्व एन १ लन्चरको विकासमा बारम्बार असफलताले गुमाएको थियो, जुन शनि वीसँग तुलना गर्न सकिन्छ। सोभियतहरूले चन्द्रमाको सामग्री पृथ्वीमा फर्काउन अमेरिकालाई हराउने प्रयास गरे। मानवरहित अनुसन्धानको माध्यमबाट। जुलाई १३ मा, एपोलो ११ को प्रक्षेपण हुनुभन्दा तीन दिन अघि, सोभियत संघले लुना १५ प्रक्षेपण गर्‍यो, जुन अपोलो ११ अघि चन्द्रमाको कक्षमा पुगेको थियो। अवतरणको क्रममा, खराबीले गर्दा आर्मस्ट्रङ र एल्ड्रिनले उडान भर्नुभन्दा दुई घण्टा अघि लुना १५ मारे क्रिसियममा दुर्घटनाग्रस्त भएको थियो। चन्द्रमाको सतह आफ्नो यात्रा घर सुरु गर्न। इङ्गल्याण्डको नफिल्ड रेडियो एस्ट्रोनोमी ल्याबोरेटरीज रेडियो टेलिस्कोपले लुना १५ बाट यसको वंशको समयमा प्रसारणहरू रेकर्ड गर्यो, र ती जुलाई २००९ मा अपोलो ११ को ४० औं वार्षिकोत्सवको लागि जारी गरिएको थियो।","सोभियत संघले अन्तरिक्ष दौडमा अमेरिकासँग प्रतिस्पर्धा गर्‍यो, तर यसको प्रारम्भिक नेतृत्व १ लन्चरको विकास भएको निराशाको कारणले गुम्यो, जुन शनि  को समान थियो। सोभियतहरूले चन्द्रमाको सामग्री पृथ्वीमा फर्काउन अमेरिकालाई हराउने प्रयास गरे। मानवरहित परीक्षणका लागि विधिहरूद्वारा। जुलाई १३ मा, एपोलो ११ को प्रेषण हुनुभन्दा तीन दिन अघि, सोभियत संघले लुना १५ लाई प्रोपेल गर्‍यो, जसले अपोलो ११ अघि चन्द्रमाको सर्कल हासिल गर्यो। डुब्दाको बीचमा, आर्मस्ट्रङ र एल्ड्रिनले चन्द्रमाबाट उडेको करिब दुई घन्टा अघि एउटा त्रुटिले लुना १५ मारे क्रिसियममा दुर्घटनाग्रस्त भयो। आफ्नो यात्रा घर सुरु गर्न सतह। इङ्गल्याण्डको नफिल्ड रेडियो एस्ट्रोनोमी ल्याबोरेटरीज रेडियो टेलिस्कोपले लुना १५ बाट प्रसारणहरू रेकर्ड गर्‍यो र यसलाई जुलाई २००९ मा अपोलो ११ को ४० औं स्मरणार्थमा छोडियो।"
"अपोलो ९ को लागि ब्याकअप क्रुमा कमाण्डर नील आर्मस्ट्रङ, कमाण्ड मोड्युल पायलट () जिम लभेल र लुनर मोड्युल पायलट () बज एल्ड्रिनको प्रारम्भिक टोलीको नियुक्ति आधिकारिक रूपमा नोभेम्बर २०, १९६७ मा घोषणा गरिएको थियो। लभेल र एल्ड्रिन पहिले सँगै उडेका थिए। जेमिनी १२ को चालक दलको रूपमा।  मा डिजाइन र निर्माण ढिलाइको कारण, अपोलो ८ र अपोलो ९ ले प्राइम र ब्याकअप क्रुहरू बदले, र आर्मस्ट्रङको टोली अपोलो ८ को लागि ब्याकअप बन्यो। सामान्य चालक दल रोटेशन योजनाको आधारमा, आर्मस्ट्रङको अपेक्षा गरिएको थियो। अपोलो ११ लाई आदेश दिन।","अपोलो ९ को सुदृढीकरण टोलीमा कमाण्डर नील आर्मस्ट्रङ, कमाण्ड मोड्युल पायलट (सीएमपी) जिम लभेल र लुनर मोड्युल पायलट (एलएमपी) बज एल्ड्रिनको अन्तर्निहित समूह कार्य नोभेम्बर २०, १९६७ मा आधिकारिक रूपमा घोषणा गरिएको थियो। लभेल र एल्ड्रिनले हालै सँगै उडान गरेका थिए। मिथुन १२ को समूहको रूपमा।  मा योजना र एसेम्बलिङ ढिलाइको कारण, अपोलो ८ र अपोलो ९ ले प्राइम र रिइन्फोर्समेन्ट टोलीहरू बदल्यो, र आर्मस्ट्रङको समूह अपोलो ८ को लागि सुदृढीकरणमा परिणत भयो। विशिष्ट टीम टर्न षडयन्त्रको प्रकाशमा, आर्मस्ट्रङ त्यसपछि अपोलो ११ लाई निर्देशन दिने अपेक्षा गरिएको थियो।"
